uniqueid,date,pagepath,pagetitle,sessionmedium,sessionsource,landingpage,browser,day,sessions,screenpageviews,activeusers,userengagementduration,engagementrate,conversions,totalrevenue,averagesessionduration,bouncerate,newusers,formatted_date
59552d1e93d37f72cf7f92ff86a7eca3e7b0e52c09bd9b23accc91fff27fac41,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,l.instagram.com,/seo-in-2023,Android Webview,07,8,9,7,345,0.25,0,0,45.312252125,0.75,7,2023-09-07
7a1123f911f80cd5e01595a06715dc3e86c8e3b08e60c41d4439dd45de0bd65d,Fri Aug 25 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,25,7,0,7,0,0,13,0,0,1,0,2023-08-25
d448adeef133ec86df00e3807e5871756cf6e280db5666f049fcb33ccd70a817,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,31,7,19,7,277,0,70,0,630.76630157142858,1,0,2023-08-31
9ab0469afbd9f51eee69587edba3ff22a55f58e50dc4658d5a4d6b515839bdef,Tue Sep 05 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,05,7,0,7,0,0,0,0,0,1,0,2023-09-05
2896f3fd4868523d5b4f16c7d831cd5fe3535df48a8b80866b414733638dcb18,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Safari,31,6,0,6,0,0,0,0,0,1,0,2023-08-31
05b67d630002c296ee6682cf9c1f077b3b6309db2a55b3cac8d9e29bf8f8fb39,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Safari,31,6,13,5,142,1,32,0,216.48118733333334,0,4,2023-08-31
4ecdd57f4be82052dc834953c16cf09d5038a14149a3cd35adfb0e1109a536de,Fri Sep 01 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,referral,tagassistant.google.com,/category/emedia-patch-blog,Chrome,01,6,39,2,197,0.66666666666666663,32,0,1193.7677301666665,0.33333333333333331,0,2023-09-01
884cc09d482f6fc9d2ce86fb67ce80624ee376cbf6d5a93f8400a6e5b94c68d3,Fri Sep 01 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,01,6,11,5,108,0,11,0,242.89655383333334,1,0,2023-09-01
3f71fac573bc8756ef50ec2a1bbff454bc60cd1163ef0ad6b2c69db2673b786d,Fri Sep 01 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,tagassistant.google.com,/category/emedia-patch-blog,Chrome,01,6,29,2,68,0.33333333333333331,4,0,380.89939333333336,0.66666666666666663,0,2023-09-01
bd79199598f5d050f8ff387e598fb2e7f11e8b1588de0cf3ae88cdc4e70e28c1,Tue Sep 05 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/seo-in-2023,Chrome,05,6,12,3,140,0.66666666666666663,0,0,325.91355116666665,0.33333333333333331,2,2023-09-05
6918674c7d3b5e96944c0cca5c257f216b6b73909efb0b082a2debb882f2ebd9,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),referral,linkedin.com,(not set),Chrome,07,6,0,6,0,0,0,0,0,1,0,2023-09-07
704951644112a5db78594885712a8d1346a777b7ef40d6948f0f9165fbd18e62,Fri Sep 08 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,linkedin.com,/seo-in-2023,Safari (in-app),08,6,7,6,3,0.33333333333333331,0,0,93.463422666666659,0.66666666666666663,6,2023-09-08
d09688a57603e6461bb3275e55f4e9877b93e746afdecaa888ce69784db643ae,Thu Aug 17 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Chrome,17,5,5,5,0,0,0,0,0,1,5,2023-08-17
1b078b2bf0f5a162f8bc7c158960e835b32065ac06c5b16ee16f5a82a53f4093,Fri Aug 25 2023 00:00:00 GMT+0200 (Central European Summer Time),/june-digital-events-calendar-2/,June Digital Events Calendar - eMedia Patch,(none),(direct),/june-digital-events-calendar-2,Chrome,25,5,5,5,22,0.4,0,0,6.6018202000000006,0.6,3,2023-08-25
ef1552c0df29098dcff05b5ab31395c018df906ee285b3f8ddaf5cdb4ab345f6,Mon Aug 28 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,28,5,5,4,121,0.6,0,0,24.5560474,0.4,3,2023-08-28
723dc757e49ad4de11b8645b9837fc256fe520eeec976d144a1b3397e6272665,Wed Aug 30 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,30,5,0,4,0,0,0,0,0,1,0,2023-08-30
07a064f859c61179b5a8f7013e89b04f960ba5737326547d86ee9d84b306e46e,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,31,5,0,5,0,0,0,0,0,1,0,2023-08-31
f9be4ed2cd07957fb00a6d87fc89ab918965f409f8d4e92cce2dc44d09382d3f,Tue Sep 05 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,organic,google,/seo-in-2023,Chrome,05,5,24,3,209,1,0,0,476.48044680000004,0,0,2023-09-05
1f902f886bce04b7a403c34f1bf51478fa30865d7025acb874d634742791021d,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,07,5,0,5,0,0,0,0,0,1,0,2023-09-07
0c8fd930c9a7f16c5d37a0d9feec85ffd3e07e9f4548919f9206812c722a99ed,Mon Sep 11 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,linkedin.com,/seo-in-2023,Chrome,11,5,5,2,2,0.2,0,0,15.872084000000001,0.8,1,2023-09-11
9a3b96a2f0716bac4586c4f1707623f264b2d4cc7de8b079fd7b026e9d116d42,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,31,10,42,8,832,0.8,46,0,569.125071,0.2,5,2023-08-31
dde2cef5c7737f49aea9e2e2fae5038d534c0566e2bcd5feb690ee642766435e,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,linkedin.com,/seo-in-2023,Chrome,07,10,12,10,276,1,0,0,176.5236012,0,7,2023-09-07
2c324ac87643fd594e294af3b702e981c7609639a0557240318e80c22eabc4f1,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,linkedin.com,/seo-in-2023,Safari (in-app),07,10,11,10,3,0.3,0,0,11.2128327,0.7,10,2023-09-07
2042a03f6662d15c2b11facfd73c2e7be285c574ef4a08a14f302f6b8d8a1dd7,Tue Sep 19 2023 00:00:00 GMT+0200 (Central European Summer Time),/visual-design-crafting-lasting-impressions/,Visual Design & Crafting Lasting Impressions - eMedia Patch,referral,lnkd.in,/visual-design-crafting-lasting-impressions,Chrome,19,10,10,9,6,0.5,0,0,92.3847222,0.5,9,2023-09-19
fa742c4911bc7867cc3101eb521c529ac8934c80a13555113ca1de89ad9cf93a,Fri Aug 25 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,25,8,34,7,335,0.75,0,0,1432.273737,0.25,7,2023-08-25
022a524f9df2e7cdd2a6afc174418c64a2c9769178b742b9fe47b9987573c632,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,31,8,0,8,0,0,0,0,0,1,0,2023-08-31
fa7154e102b8a33300267965b2a58ffce48135d645482c778cade49bad842029,Fri Sep 01 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,01,8,0,7,0,0,0,0,0,1,0,2023-09-01
